ParticipantId,Stim1,Stim2,Stim3,Stim4,Stim5,Stim6,Musician,Years,Recording,Completed
234,G6,G2,G4,G1,G3,G5,No,Drums,1,Clap,No
376,G5,G4,G3,G6,G1,G2,No,Drums,1,Clap,No
342,G5,G3,G1,G4,G6,G2,No,Drum,1,Bongo,No
359,G6,G2,G5,G4,G1,G3,No,drums,1,Conga,No
346,G6,G4,G1,G3,G2,G5,No,,1,Clap,No
264,G1,G2,G6,G4,G3,G5,No,Drums,1,Clap,No
289,G6,G5,G1,G2,G4,G3,No,Drums,1,Clap,No
20,G6,G2,G3,G1,G5,G4,No,Drums,1,Clap,No
201,G4,G6,G3,G5,G2,G1,No,Drums,1,Clap,No
102,G5,G6,G3,G1,G2,G4,Yes,Drums,2,Clap,No
189,G6,G4,G2,G1,G3,G5,YES,Drums,1,Clap,No
204,G2,G3,G4,G1,G6,G5,Yes,Drums,1,Clap,No
56,G4,G1,G2,G3,G6,G5,yES,dcRUMS,1,cLAP,No
200,G4,G1,G2,G5,G6,G3,Yes,Drums,1,Clap,No
152,G6,G5,G2,G3,G1,G4,No,Drums,12,Clap,No
177,G4,G1,G2,G5,G6,G3,Yes,Drums,1,Clap,No
301,G6,G2,G1,G5,G4,G3,No,Drums,1,Clap,No
398,G3,G5,G4,G1,G6,G2,No,Drums,1,Clap,No
184,G4,G2,G6,G1,G3,G5,YES,Drums,1,cLAP,No
128,G2,G4,G1,G5,G6,G3,Yes,Drums,1,Clap,No
227,G2,G6,G1,G3,G5,G4,No,Drums,1,Clap,No
108,G1,G2,G4,G5,G3,G6,No,Drums,1,Clap,No
9,G5,G4,G2,G3,G6,G1,No,Drums,1,Clap,No
138,G1,G4,G3,G2,G5,G6,No,Drums,1,Clap,No
162,G6,G5,G1,G2,G4,G3,Yes,drums,1,Clap,No
11,G3,G5,G6,G1,G4,G2,No,Drums,1,Clap,No
310,G2,G5,G6,G3,G1,G4,YES,drums,1,Clap,No
387,G2,G4,G3,G5,G6,G1,Yes,Drums,1,Clap,No
59,Gt,G3,G4,G5,G1,G6,Yes,drums,1,Clap,No
380,G1,G4,G2,G5,G6,G3,Yes,Drums,1,Clap,No
95,G1,G2,G3,G6,G4,G5,YES,Drums,1,Clap,No
118,G5,G6,G1,G4,G3,G2,YES,Drums,1,Clap,No
135,G4,G1,G2,G3,G6,G5,YES,Drums,1,Clap,No
372,G6,G1,G5,G2,G4,G3,Yes,drums,1,Clap,No
223,G5,G6,G4,G2,G1,G3,Yes,Drums,1,clap,No
129,G2,G4,G6,G1,G5,G3,Yes,Drums,1,Clap,No
211,G2,G4,G3,G1,G5,G6,YES,Drums,1,Clap,No
351,G1,G2,G4,G3,G5,G6,Yes,Drums,1,Clap,No
273,G2,G3,G5,G1,G6,G4,YES,Drums,1,Clap,No
180,G3,G4,G1,G5,G6,G2,Yes,Drums,1,Clap,No
140,G6,G5,G3,G1,G2,G4,Yes,Drums,1,Clap,No
6,G6,G3,G5,G1,G4,G2,yES,dRUMS,1,clap,No
202,G3,G1,G6,G2,G5,G4,YEs,Drums,2,Clap,No
153,G6,G4,G2,G1,G5,G3,Yes,Drums,1,Clap,No
269,G3,G6,G2,G5,G1,G4,Yes,Drums,1,Clap,No
280,G1,G5,G6,G3,G4,G2,Yes,Drums,1,Clap,No
72,G3,G2,G6,G5,G4,G1,Yes,Guitar,20,Clap,No
13,G4,G5,G3,G1,G2,G6,Yes,Drums,3,Clap,M,No
300,G2,G5,G6,G3,G1,G4,yes,a,3,clap,male,No
161,G5,G4,G2,G3,G6,G1,aa,a,0,1,male,No
38,G2,G6,G5,G4,G1,G3,YES,Drums,2,Clap,M,No
190,G2,G4,G5,G6,G3,G1,Yes,Drums,2,Clap,m,No
284,G6,G4,G3,G5,G1,G2,YES,Drums,3,Clap,M,No
80,G4,G6,G2,G5,G3,G1,Yes,Drums,2,Clap,M,No
229,G4,G5,G6,G1,G2,G3,Yes,Drums,3,Clap,M,No
7,G5,G4,G2,G1,G6,G3,Yes,Drums,4,Clap,M,No
131,G4,G2,G6,G1,G5,G3,Yes,Drums,2,Clap,M,No
361,G3,G1,G5,G6,G2,G4,Yes,Drums,2,Clap,M,No
215,G1,G6,G3,G5,G4,G2,Yes,Drums,2,Clap,M,No
399,G5,G1,G4,G2,G3,G6,Yes,Drums,4,Clap,M,No
357,G6,G4,G1,G2,G3,G5,Yes,Drums,3,cLAP,M,No
339,G4,G6,G5,G1,G2,G3,yES,dUMS,2,cLAP,m,No
188,G2,G4,G1,G6,G3,G5,Yes,Drums,3,Clap,M,No
97,G1,G3,G6,G5,G4,G2,Yes,Drums,3,Clap,M,No
323,G1,G4,G5,G3,G2,G6,Yes,Drums,3,Clap,M,No
353,G3,G4,G2,G6,G1,G5,No,Sing,4,Clap,M,No
369,G3,G4,G6,G1,G2,G5,Yes,Drums,4,Clap,M,No
382,G3,G1,G6,G2,G5,G4,Yes,Drums,3,clap,M,No
315,G2,G5,G6,G1,G4,G3,Yes,dRUMS,3,clAP,M,No
